"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 28 14:03:29 MSK 2021","Thu Oct 28 14:03:29 MSK 2021","87","","Checking popular container in Mainpage","","Checking popular container in Mainpage","Check hover of product is displayed","Check hover of product is displayed",""
"passed","Thu Oct 28 14:03:13 MSK 2021","Thu Oct 28 14:03:15 MSK 2021","1841","","Checking marketbox in Mainpage","","Checking marketbox in Mainpage","Check that marketbox is loaded","Check that marketbox is loaded",""
"passed","Thu Oct 28 14:02:37 MSK 2021","Thu Oct 28 14:02:39 MSK 2021","2281","","Checking navbar in Mainpage","","Checking navbar in Mainpage","CheckMiddleNavbar","CheckMiddleNavbar",""
"passed","Thu Oct 28 14:01:56 MSK 2021","Thu Oct 28 14:01:58 MSK 2021","1751","","Checking filters in CatalogPage","","Checking filters in CatalogPage","Check that seasons filter work","Check that seasons filter work",""
"passed","Thu Oct 28 14:03:29 MSK 2021","Thu Oct 28 14:03:32 MSK 2021","3412","","Checking popular container in Mainpage","","Checking popular container in Mainpage","Check About button in popular section","Check About button in popular section",""
"passed","Thu Oct 28 14:03:23 MSK 2021","Thu Oct 28 14:03:26 MSK 2021","2582","","Checking header in Mainpage","","Checking header in Mainpage","ClickOnEveryLinkInHeader","ClickOnEveryLinkInHeader",""
"passed","Thu Oct 28 14:03:23 MSK 2021","Thu Oct 28 14:03:23 MSK 2021","2","","Checking header in Mainpage","","Checking header in Mainpage","CookieAreAccepted","CookieAreAccepted",""
"skipped","Thu Oct 28 14:01:56 MSK 2021","Thu Oct 28 14:01:56 MSK 2021","0","","Checking filters in CatalogPage","","Checking filters in CatalogPage","Check that material filter work","Check that material filter work",""
"passed","Thu Oct 28 14:03:45 MSK 2021","Thu Oct 28 14:03:45 MSK 2021","1","","Checking banner in Mainpage","","Checking banner in Mainpage","CheckCarouselIsDisplayed","CheckCarouselIsDisplayed",""
"passed","Mon Oct 25 15:32:34 MSK 2021","Mon Oct 25 15:32:42 MSK 2021","7662","","Checking marketbox in Mainpage","","Checking marketbox in Mainpage","Check that Brands section is displayed","Check that Brands section is displayed",""
"passed","Thu Oct 28 14:01:42 MSK 2021","Thu Oct 28 14:01:44 MSK 2021","2506","","Checking filters in CatalogPage","","Checking filters in CatalogPage","Filters are displayed","Filters are displayed",""
"passed","Thu Oct 28 14:03:07 MSK 2021","Thu Oct 28 14:03:09 MSK 2021","2513","","Checking new collection in Mainpage","","Checking new collection in Mainpage","Check Details Button","Check Details Button",""
"failed","Mon Oct 25 18:12:51 MSK 2021","Mon Oct 25 18:12:54 MSK 2021","3154","","a","","a","Check that New Collection is displayed","Check that New Collection is displayed",""
"passed","Thu Oct 28 14:03:40 MSK 2021","Thu Oct 28 14:03:40 MSK 2021","19","","Checking brands in Mainpage","","Checking brands in Mainpage","Check title of brands section","Check title of brands section",""
"passed","Thu Oct 28 14:02:49 MSK 2021","Thu Oct 28 14:03:04 MSK 2021","15399","","a","","a","Filters are displayed","Filters are displayed",""
"passed","Thu Oct 28 14:03:29 MSK 2021","Thu Oct 28 14:03:29 MSK 2021","17","","Checking popular container in Mainpage","","Checking popular container in Mainpage","Check title of Popular container","Check title of Popular container",""
"passed","Thu Oct 28 14:03:15 MSK 2021","Thu Oct 28 14:03:15 MSK 2021","11","","Checking marketbox in Mainpage","","Checking marketbox in Mainpage","Check the title of marketbox","Check the title of marketbox",""
"passed","Thu Oct 28 14:01:58 MSK 2021","Thu Oct 28 14:02:00 MSK 2021","1652","","Checking filters in CatalogPage","","Checking filters in CatalogPage","Check that number sort is displayed","Check that number sort is displayed",""
"passed","Thu Oct 28 14:01:48 MSK 2021","Thu Oct 28 14:01:50 MSK 2021","2017","","Checking filters in CatalogPage","","Checking filters in CatalogPage","Check that colour filter work","Check that colour filter work",""
"passed","Mon Oct 25 15:32:43 MSK 2021","Mon Oct 25 15:32:50 MSK 2021","6304","","Checking banner in Mainpage","","Checking banner in Mainpage","Check transition to news page","Check transition to news page",""
"passed","Thu Oct 28 14:03:15 MSK 2021","Thu Oct 28 14:03:19 MSK 2021","4131","","Checking marketbox in Mainpage","","Checking marketbox in Mainpage","Check transition to catalog","Check transition to catalog",""
"passed","Thu Oct 28 14:03:38 MSK 2021","Thu Oct 28 14:03:40 MSK 2021","2000","","Checking brands in Mainpage","","Checking brands in Mainpage","Check that Brands section is displayed","Check that Brands section is displayed",""
"passed","Thu Oct 28 14:03:09 MSK 2021","Thu Oct 28 14:03:11 MSK 2021","1958","","Checking new collection in Mainpage","","Checking new collection in Mainpage","Check See all new products of New collection","Check See all new products of New collection",""
"passed","Thu Oct 28 14:02:19 MSK 2021","Thu Oct 28 14:02:37 MSK 2021","17493","","Checking navbar in Mainpage","","Checking navbar in Mainpage","ClickOnEveryLinkOnNavbarAsMan","ClickOnEveryLinkOnNavbarAsMan",""
"passed","Thu Oct 28 14:02:01 MSK 2021","Thu Oct 28 14:02:19 MSK 2021","18671","","Checking navbar in Mainpage","","Checking navbar in Mainpage","ClickOnEveryLinkOnNavbarAsWoman","ClickOnEveryLinkOnNavbarAsWoman",""
"passed","Thu Oct 28 14:01:44 MSK 2021","Thu Oct 28 14:01:44 MSK 2021","116","","Checking filters in CatalogPage","","Checking filters in CatalogPage","Check that sorting filter work","Check that sorting filter work",""
"passed","Thu Oct 28 14:03:33 MSK 2021","Thu Oct 28 14:03:35 MSK 2021","1981","","Checking news in Mainpage","","Checking news in Mainpage","Check that news are displayed","Check that news are displayed",""
"passed","Thu Oct 28 14:01:46 MSK 2021","Thu Oct 28 14:01:48 MSK 2021","1813","","Checking filters in CatalogPage","","Checking filters in CatalogPage","Check that sale filter work","Check that sale filter work",""
"passed","Thu Oct 28 14:03:35 MSK 2021","Thu Oct 28 14:03:35 MSK 2021","341","","Checking news in Mainpage","","Checking news in Mainpage","Click on More News button","Click on More News button",""
"skipped","Thu Oct 28 14:03:29 MSK 2021","Thu Oct 28 14:03:29 MSK 2021","0","","Checking popular container in Mainpage","","Checking popular container in Mainpage","Check transition to product card","Check transition to product card",""
"passed","Thu Oct 28 14:03:40 MSK 2021","Thu Oct 28 14:03:43 MSK 2021","2307","","Checking SeeAll in Mainpage","","Checking SeeAll in Mainpage","Check SeeAll section is displayed","Check SeeAll section is displayed",""
"passed","Thu Oct 28 14:01:54 MSK 2021","Thu Oct 28 14:01:56 MSK 2021","2014","","Checking filters in CatalogPage","","Checking filters in CatalogPage","Check that fason filter work","Check that fason filter work",""
"passed","Mon Oct 25 15:32:42 MSK 2021","Mon Oct 25 15:32:42 MSK 2021","70","","Checking marketbox in Mainpage","","Checking marketbox in Mainpage","Check title of brands section","Check title of brands section",""
"passed","Thu Oct 28 14:03:26 MSK 2021","Thu Oct 28 14:03:29 MSK 2021","2574","","Checking popular container in Mainpage","","Checking popular container in Mainpage","Check that Popular continer is displayed","Check that Popular continer is displayed",""
"passed","Thu Oct 28 14:01:44 MSK 2021","Thu Oct 28 14:01:46 MSK 2021","2019","","Checking filters in CatalogPage","","Checking filters in CatalogPage","Check that cost filter work","Check that cost filter work",""
"passed","Thu Oct 28 14:01:50 MSK 2021","Thu Oct 28 14:01:52 MSK 2021","2034","","Checking filters in CatalogPage","","Checking filters in CatalogPage","Check that size filter work","Check that size filter work",""
"passed","Mon Oct 25 15:32:42 MSK 2021","Mon Oct 25 15:32:43 MSK 2021","7","","Checking banner in Mainpage","","Checking banner in Mainpage","Check the title of News section","Check the title of News section",""
"passed","Thu Oct 28 14:01:52 MSK 2021","Thu Oct 28 14:01:54 MSK 2021","1880","","Checking filters in CatalogPage","","Checking filters in CatalogPage","Check that brand filter work","Check that brand filter work",""
"passed","Thu Oct 28 14:03:35 MSK 2021","Thu Oct 28 14:03:35 MSK 2021","14","","Checking news in Mainpage","","Checking news in Mainpage","Check the title of News section","Check the title of News section",""
"passed","Thu Oct 28 14:03:11 MSK 2021","Thu Oct 28 14:03:13 MSK 2021","1448","","Checking new collection in Mainpage","","Checking new collection in Mainpage","Check flipping the pictures","Check flipping the pictures",""
"passed","Mon Oct 25 15:32:48 MSK 2021","Mon Oct 25 15:32:52 MSK 2021","3689","","Checking banner in Mainpage","","Checking banner in Mainpage","Check SeeAll section is displayed","Check SeeAll section is displayed",""
"passed","Mon Oct 25 15:32:43 MSK 2021","Mon Oct 25 15:32:43 MSK 2021","720","","Checking banner in Mainpage","","Checking banner in Mainpage","Click on More News button","Click on More News button",""
"passed","Thu Oct 28 14:03:07 MSK 2021","Thu Oct 28 14:03:07 MSK 2021","20","","Checking new collection in Mainpage","","Checking new collection in Mainpage","Check the tile of New collection","Check the tile of New collection",""
"passed","Mon Oct 25 15:32:34 MSK 2021","Mon Oct 25 15:32:42 MSK 2021","8051","","Checking banner in Mainpage","","Checking banner in Mainpage","Check that news are displayed","Check that news are displayed",""
"passed","Thu Oct 28 14:03:35 MSK 2021","Thu Oct 28 14:03:38 MSK 2021","2322","","Checking news in Mainpage","","Checking news in Mainpage","Check transition to news page","Check transition to news page",""
"passed","Thu Oct 28 14:03:20 MSK 2021","Thu Oct 28 14:03:23 MSK 2021","3343","","Checking header in Mainpage","","Checking header in Mainpage","MainPageIsLoaded","MainPageIsLoaded",""
"passed","Thu Oct 28 14:03:05 MSK 2021","Thu Oct 28 14:03:07 MSK 2021","1929","","Checking new collection in Mainpage","","Checking new collection in Mainpage","Check that New Collection is displayed","Check that New Collection is displayed",""
"passed","Thu Oct 28 14:02:39 MSK 2021","Thu Oct 28 14:02:47 MSK 2021","8210","","Checking navbar in Mainpage","","Checking navbar in Mainpage","CheckingOtherLinksInNavbar","CheckingOtherLinksInNavbar",""
"passed","Thu Oct 28 14:03:43 MSK 2021","Thu Oct 28 14:03:45 MSK 2021","2045","","Checking banner in Mainpage","","Checking banner in Mainpage","Check that banners are shown","Check that banners are shown",""
"skipped","Thu Oct 28 14:03:45 MSK 2021","Thu Oct 28 14:03:45 MSK 2021","0","","Checking banner in Mainpage","","Checking banner in Mainpage","CheckSwitchingBanners","CheckSwitchingBanners",""
